Substance,Hcp
Cyhalofop-butyl,1000
Raltegravir,1.1e+17
Fluacrypyrim,0.3
Trifloxystrobin,430
Etoxazole,99
Droperidol,3.7e+11
Paliperidone,1.2e+15
Risperidone,4.5e+10
Ezetimibe,2.2e+12
Cerivastatin,1.7e+13
"Flucythrinate, isomer 1",110
Chloromethane,0.0013
Dichloromethane,0.0036
Dichloromethane-d2,0.0038
Trichloromethane,0.0025
Chloroethane,0.00083
"1,1-dichloroethane",0.17
"1,2-dichloroethane",0.0089
"1,2-dichloroethane-d4",0.0087
"1,1,1-trichloroethane",0.6
"1,1,2-trichloroethane",0.011
"1,1,2-trichloroethane-d3",0.013
"1,1,1,2-tetrachloroethane",0.42
"1,1,2,2-tetrachloroethane",0.024
Pentachloroethane,0.45
Hexachloroethane,0.0025
1-chloropropane,0.00069
2-chloropropane,0.00054
"1,1-dichloropropane",0.0026
"1,2-dichloropropane",0.0034
"1,2-dichloropropane-d6",0.0036
"2,2-dichloropropane",0.00044
"1,1,1-trichloropropane",0.0038
"1,1,2-trichloropropane",0.014
"1,2,3-trichloropropane",0.036
"1,1,2,2,3-pentachloropropane",0.014
1-chloro-2-methylpropane,0.83
2-chloro-2-methylpropane,0.00022
1-chlorobutane,0.00067
2-chlorobutane,0.00041
"1,1-dichlorobutane",0.0013
"1,4-dichlorobutane",0.02
"2,3-dichlorobutane",0.0025
1-chloropentane,0.42
2-chloropentane,0.00036
3-chloropentane,0.00038
"1,2-dichloropentane",0.0048
"1,5-dichloropentane",0.018
"2,3-dichloropentane",0.0029
2-chloro-2-methylbutane,0.003
1-chlorohexane,0.00031
2-chlorohexane,0.0005
3-chlorohexane,0.0005
1-chloroheptane,0.00025
2-chloroheptane,0.00039
3-chloroheptane,0.00036
4-chloroheptane,0.00036
1-chlorooctane,0.00019
2-chlorooctane,0.00027
3-(chloromethyl)-heptane,0.00045
"1,8-dichlorooctane",0.0075
1-chlorononane,0.00016
2-chlorononane,0.00027
5-chlorononane,0.00022
1-chlorodecane,0.16
"1,10-dichlorodecane",0.002
"1,2,9,10-tetrachlorodecane",0.056
Pentachlorodecane isomers,0.2
1-chloroundecane,0.00017
"1,2,10,11-tetrachloroundecane",0.16
Pentachloroundecane isomers,0.68
1-chlorododecane,0.00023
"1,12-dichlorododecane",0.0015
1-chlorotridecane,0.00029
1-chlorotetradecane,0.00039
Tetrachlorocyclopentane,0.0064
"1,1,2,3,3,4-hexachlorocyclopentane",0.051
"1,1,2,3,3,4,5-heptachlorocyclopentane",0.15
"1,2,3,3,4,5-hexachlorocyclopentene",0.014
Heptachlorocyclopentene,0.039
Chlorocyclohexane,0.0028
"4,5,6,7,8,8-hexachloro-3a,4,7,7a-tetrahydro-4,7-methano-1h-indene",0.02
Mirex,0.12
Dechlorane plus,1.3
Chloroethene,0.00038
Chloroethene-d3,0.00038
"1,1-dichloroethene",0.37
"1,2-dichloroethene",0.00037
Trichloroethene,0.0011
Tetrachloroethene,0.00062
Dichloroethyne,0.00049
1-chloro-1-propene,0.00018
2-chloro-1-propene,0.00014
3-chloro-1-propene,0.00091
"1,1-dichloropropene",0.00061
"1,2-dichloropropene",0.002
"1,3-dichloropropene",0.0064
"Cis-1,3-dichloropropene",0.0042
"Trans-1,3-dichloropropene",0.56
"2,3-dichloropropene",0.0028
"1,1,2,3,3,3-hexachloro-1-propene",0.0062
3-chloro-2-methyl-1-propene,0.0011
"1,3-dichloro-2-butene",0.00026
"1,4-dichloro-2-butene",0.017
"3,4-dichloro-1-butene",0.0011
1-chloro-2-methylpropene,0.52
"2-chloro-1,3-butadiene",0.047
Hexachlorobutadiene,0.00083
Hexachlorocyclopentadiene,0.00037
Chlordane,0.18
Cis-chlordane,0.17
Trans-chlordane,0.17
Cis-nonachlor,1.4
Trans-nonachlor,0.031
Chlorobenzene,0.0027
Chlorobenzene-d5,0.36
"1,2-dichlorobenzene",0.0068
"1,2-dichlorobenzene-d4",0.0082
"1,3-dichlorobenzene",0.34
"1,4-dichlorobenzene",0.0045
"1,2,3-trichlorobenzene",0.015
"1,2,3-trichlorobenzene-d3",0.015
"1,2,4-trichlorobenzene",0.11
"1,2,4-trichlorobenzene-d3",0.0098
"1,3,5-trichlorobenzene",0.0018
"1,2,3,4-tetrachlorobenzene",0.0035
"1,2,3,5-tetrachlorobenzene",0.0063
"1,2,4,5-tetrachlorobenzene",0.018
Pentachlorobenzene,0.014
Hexachlorobenzene,0.19
1-chloro-2-methylbenzene,0.0032
1-chloro-3-methylbenzene,0.00062
1-chloro-4-methylbenzene,0.0041
"1,2-dichloro-4-methylbenzene",0.0079
"1,3-dichloro-2-methylbenzene",0.0023
"1-methyl-2,4-dichlorobenzene",0.0027
"1-methyl-2,4,5-trichlorobenzene",0.66
"1-methyl-2,3,6-trichlorobenzene",0.0066
Pentachloromethylbenzene,0.013
1-chloro-2-(chloromethyl)benzene,0.0064
1-chloro-4-(chloromethyl)benzene,0.029
Chloro(dichloromethyl)benzene,0.018
1-chloro-4-(trichloromethyl)benzene,0.051
1-chloro-3-ethenylbenzene,0.0047
1-chloro-4-ethenylbenzene,0.0047
"1,4-dichloro-2,5-dimethylbenzene",0.0027
"1,4-bis(trichloromethyl)benzene",0.79
2-chlorostyrene,0.0047
Octachlorostyrene,0.076
1-chloronaphthalene,0.028
"1,2,3-trichloronaphthalene",0.032
"1,2,3,4-tetrachloronaphthalene",0.041
"1,2,3,4,5-pentachloronaphthalene",0.082
"1,2,3,4,5,6-hexachloronaphthalene",0.11
Octachloronaphthalene,0.014
Heptachlor,0.33
"1,3-dichloronaphthalene",0.034
1-chloro-2-methyl-2-phenylpropane,0.002
"1,3-dichloro-5-[(2s)-2,4,4,4-tetrachlorobutan-2-yl]benzene",0.084
"1,2,3,4,5,6,7,8,8-nonachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1h-indene",0.39
"1,1-dichloro-2,2-bis-(4-chlorophenyl)-ethane",1.5
Mitotane,1.2
"1,1-dichloro-2,2-bis-(4-chlorophenyl)-ethene",0.24
"O,p’-dde",0.39
"1,1,1-trichloro-2-(2-chlorophenyl)-2-(4-chlorophenyl)ethane",2.9
"1,1,1-trichloro-2,2-bis-(4-chlorophenyl)-ethane",0.91
Aldrin,0.067
Isodrin,0.025
"1,1’-(2,2-dichloroethylidene)bis[4-ethylbenzene",0.058
2-chlorobiphenyl,0.03
3-chlorobiphenyl,0.032
4-chlorobiphenyl,0.028
"2,2’-dichlorobiphenyl",0.046
"2,3-dichlorobiphenyl",0.043
"2,3’-dichlorobiphenyl",0.043
"2,4-dichlorobiphenyl",0.037
"2,4’-dichlorobiphenyl",0.038
"2,5-dichlorobiphenyl",0.023
"2,6-dichlorobiphenyl",0.012
"3,4-dichlorobiphenyl",0.07
"3,4’-dichlorobiphenyl",0.049
"3,5-dichlorobiphenyl",0.027
"4,4’-dichlorobiphenyl",0.07
"2,2’,3-trichlorobiphenyl",0.042
"2,2’,4-trichlorobiphenyl",0.033
"2,2’,5-trichlorobiphenyl",0.039
"2,2’,6-trichlorobiphenyl",0.033
"2,3,3’-trichlorobiphenyl",0.012
"2,3,4-trichlorobiphenyl",0.0043
"2,3,4’-trichlorobiphenyl",0.034
"2,3,5-trichlorobiphenyl",0.015
"2,3,6-trichlorobiphenyl",0.033
"2,3’,4-trichlorobiphenyl",0.033
"2,3’,5-trichlorobiphenyl",0.35
"2,3’,6-trichlorobiphenyl",0.035
"2,4,4’-trichlorobiphenyl",0.03
"2,4,5-trichlorobiphenyl",0.031
"2,4,6-trichlorobiphenyl",0.015
"2,4’,5-trichlorobiphenyl",0.027
"2,4’,6-trichlorobiphenyl",0.012
"2,3’,4’-trichlorobiphenyl",0.036
"2,3’,5’-trichlorobiphenyl",0.013
"3,3’,4-trichlorobiphenyl",0.018
"3,3’,5-trichlorobiphenyl",0.058
"3,4,4’-trichlorobiphenyl",0.099
"3,4,5-trichlorobiphenyl",0.012
"3,4’,5-trichlorobiphenyl",0.12
"2,2’,3,3’-tetrachlorobiphenyl",0.036
"2,2’,3,4-tetrachlorobiphenyl",0.049
"2,2’,3,4’-tetrachlorobiphenyl",0.028
"2,2’,3,5-tetrachlorobiphenyl",0.013
"2,2’,3,5’-tetrachlorobiphenyl",0.36
"2,2’,3,6-tetrachlorobiphenyl",0.025
"2,2’,3,6’-tetrachlorobiphenyl",0.03
"2,2’,4,4’-tetrachlorobiphenyl",0.21
"2,2’,4,5-tetrachlorobiphenyl",0.27
"2,2’,4,5’-tetrachlorobiphenyl",0.027
"2,2’,4,6-tetrachlorobiphenyl",0.016
"2,2’,4,6’-tetrachlorobiphenyl",0.025
"2,2’,5,5’-tetrachlorobiphenyl",0.035
"2,2’,5,6’-tetrachlorobiphenyl",0.024
"2,2’,6,6’-tetrachlorobiphenyl",0.049
"2,3,3’,4-tetrachlorobiphenyl",0.0096
"2,3,3’,4’-tetrachlorobiphenyl",0.038
"2,3,3’,5-tetrachlorobiphenyl",0.0089
"2,3,3’,5’-tetrachlorobiphenyl",0.0023
"2,3,3’,6-tetrachlorobiphenyl",0.044
"2,3,4,5-tetrachlorobiphenyl",0.049
"2,3,4,6-tetrachlorobiphenyl",0.047
"2,3,4’,5-tetrachlorobiphenyl",0.25
"2,3,4’,6-tetrachlorobiphenyl",0.025
"2,3,5,6-tetrachlorobiphenyl",0.0049
"2,3’,4,4’-tetrachlorobiphenyl",0.027
"2,3’,4,5-tetrachlorobiphenyl",0.099
"2,3’,4,5’-tetrachlorobiphenyl",0.72
"2,3’,4,6-tetrachlorobiphenyl",0.019
"2,3’,4’,5-tetrachlorobiphenyl",0.033
"2,3’,4’,6-tetrachlorobiphenyl",0.018
"2,3’,5,5’-tetrachlorobiphenyl",0.004
"2,3’,5’,6-tetrachlorobiphenyl",0.0064
"2,4,4’,5-tetrachlorobiphenyl",0.26
"2,4,4’,6-tetrachlorobiphenyl",0.021
"2,3’,4’,5’-tetrachlorobiphenyl",0.077
"3,3’,4,4’-tetrachlorobiphenyl",0.031
"3,3’,4,5-tetrachlorobiphenyl",0.51
"3,3’,4,5’-tetrachlorobiphenyl",0.0038
"3,3’,5,5’-tetrachlorobiphenyl",0.00094
"3,4,4’,5-tetrachlorobiphenyl",0.088
"2,2’,3,3’,4-pentachlorobiphenyl",0.027
"2,2’,3,3’,5-pentachlorobiphenyl",0.023
"2,2’,3,3’,6-pentachlorobiphenyl",0.57
"2,2’,3,4,4’-pentachlorobiphenyl",0.023
"2,2’,3,4,5-pentachlorobiphenyl",0.0089
"2,2’,3,4,5’-pentachlorobiphenyl",0.027
"2,2’,3,4,6-pentachlorobiphenyl",0.0096
"2,2’,3,4,6’-pentachlorobiphenyl",0.022
"2,2’,3,4’,5-pentachlorobiphenyl",0.021
"2,2’,3,4’,6-pentachlorobiphenyl",0.019
"2,2’,3,5,5’-pentachlorobiphenyl",0.022
"2,2’,3,5,6-pentachlorobiphenyl",0.0041
"2,2’,3,5,6’-pentachlorobiphenyl",0.0045
"2,2’,3,5’,6-pentachlorobiphenyl",0.21
"2,2’,3,6,6’-pentachlorobiphenyl",0.00087
"2,2’,3,4’,5’-pentachlorobiphenyl",0.023
"2,2’,3,4’,6’-pentachlorobiphenyl",0.0055
"2,2’,4,4’,5-pentachlorobiphenyl",0.022
"2,2’,4,4’,6-pentachlorobiphenyl",0.97
"2,2’,4,5,5’-pentachlorobiphenyl",0.032
"2,2’,4,5,6’-pentachlorobiphenyl",0.11
"2,2’,4,5’,6-pentachlorobiphenyl",0.0081
"2,2’,4,6,6’-pentachlorobiphenyl",0.15
"2,3,3’,4,4’-pentachlorobiphenyl",0.03
"2,3,3’,4,5-pentachlorobiphenyl",0.013
"2,3,3’,4’,5-pentachlorobiphenyl",0.043
"2,3,3’,4,5’-pentachlorobiphenyl",0.0041
"2,3,3’,4,6-pentachlorobiphenyl",0.15
"2,3,3’,4’,6-pentachlorobiphenyl",0.023
"2,3,3’,5,5’-pentachlorobiphenyl",0.0065
"2,3,3’,5,6-pentachlorobiphenyl",0.0078
"2,3,3’,5’,6-pentachlorobiphenyl",0.015
"2,3,4,4’,5-pentachlorobiphenyl",0.053
"2,3,4,4’,6-pentachlorobiphenyl",0.26
"2,3,4,5,6-pentachlorobiphenyl",0.0043
"2,3,4’,5,6-pentachlorobiphenyl",0.0015
"2,3’,4,4’,5-pentachlorobiphenyl",0.031
"2,3’,4,4’,6-pentachlorobiphenyl",0.015
"2,3’,4,5,5’-pentachlorobiphenyl",0.18
"2,3’,4,5’,6-pentachlorobiphenyl",0.0085
"2,3,3’,4’,5’-pentachlorobiphenyl",0.16
"2,3’,4,4’,5’-pentachlorobiphenyl",0.046
"2,3’,4’,5,5’-pentachlorobiphenyl",0.19
"2,3’,4’,5’,6-pentachlorobiphenyl",0.0023
"3,3’,4,4’,5-pentachlorobiphenyl",0.1
"3,3’,4,5,5’-pentachlorobiphenyl",0.0022
"2,2’,3,3’,4,4’-hexachlorobiphenyl",0.028
"2,2’,3,3’,4,5-hexachlorobiphenyl",0.34
"2,2’,3,3’,4,5’-hexachlorobiphenyl",0.27
"2,2’,3,3’,4,6-hexachlorobiphenyl",0.15
"2,2’,3,3’,4,6’-hexachlorobiphenyl",0.04
"2,2’,3,3’,5,5’-hexachlorobiphenyl",0.0041
"2,2’,3,3’,5,6-hexachlorobiphenyl",0.012
"2,2’,3,3’,5,6’-hexachlorobiphenyl",0.015
"2,2’,3,3’,6,6’-hexachlorobiphenyl",0.9
"2,2’,3,4,4’,5-hexachlorobiphenyl",0.045
"2,2’,3,4,4’,5’-hexachlorobiphenyl",0.025
"2,2’,3,4,4’,6-hexachlorobiphenyl",0.014
"2,2’,3,4,4’,6’-hexachlorobiphenyl",0.017
"2,2’,3,4,5,5’-hexachlorobiphenyl",0.2
"2,2’,3,4,5,6-hexachlorobiphenyl",0.004
"2,2’,3,4,5,6’-hexachlorobiphenyl",0.0065
"2,2’,3,4,5’,6-hexachlorobiphenyl",0.07
"2,2’,3,4,6,6’-hexachlorobiphenyl",0.0015
"2,2’,3,4’,5,5’-hexachlorobiphenyl",0.017
"2,2’,3,4’,5,6-hexachlorobiphenyl",0.19
"2,2’,3,4’,5,6’-hexachlorobiphenyl",0.012
"2,2’,3,4’,5’,6-hexachlorobiphenyl",0.015
"2,2’,3,4’,6,6’-hexachlorobiphenyl",0.0065
"2,2’,3,5,5’,6-hexachlorobiphenyl",0.014
"2,2’,3,5,6,6’-hexachlorobiphenyl",0.13
"2,2’,4,4’,5,5’-hexachlorobiphenyl",0.04
"2,2’,4,4’,5,6’-hexachlorobiphenyl",0.013
"2,2’,4,4’,6,6’-hexachlorobiphenyl",0.013
"2,3,3’,4,4’,5-hexachlorobiphenyl",0.68
"2,3,3’,4,4’,5’-hexachlorobiphenyl",0.06
"2,3,3’,4,4’,6-hexachlorobiphenyl",0.021
"2,3,3’,4,5,5’-hexachlorobiphenyl",0.49
"2,3,3’,4,5,6-hexachlorobiphenyl",0.49
"2,3,3’,4,5’,6-hexachlorobiphenyl",0.92
"2,3,3’,4’,5,5’-hexachlorobiphenyl",0.0037
"2,3,3’,4’,5,6-hexachlorobiphenyl",0.021
"2,3,3’,4’,5’,6-hexachlorobiphenyl",0.0095
"2,3,3’,5,5’,6-hexachlorobiphenyl",0.34
"2,3,4,4’,5,6-hexachlorobiphenyl",0.0035
"2,3’,4,4’,5,5’-hexachlorobiphenyl",0.78
"2,3’,4,4’,5’,6-hexachlorobiphenyl",0.011
"3,3’,4,4’,5,5’-hexachlorobiphenyl",0.081
"2,2’,3,3’,4,4’,5-heptachlorobiphenyl",0.048
"2,2’,3,3’,4,4’,6-heptachlorobiphenyl",0.013
"2,2’,3,3’,4,5,5’-heptachlorobiphenyl",0.76
"2,2’,3,3’,4,5,6-heptachlorobiphenyl",0.7
"2,2’,3,3’,4,5,6’-heptachlorobiphenyl",0.022
"2,2’,3,3’,4,5’,6-heptachlorobiphenyl",0.01
"2,2’,3,3’,4,6,6’-heptachlorobiphenyl",0.11
"2,2’,3,3’,4,5’,6’-heptachlorobiphenyl",0.021
"2,2’,3,3’,5,5’,6-heptachlorobiphenyl",0.15
"2,2’,3,3’,5,6,6’-heptachlorobiphenyl",0.41
"2,2’,3,4,4’,5,5’-heptachlorobiphenyl",0.17
"2,2’,3,4,4’,5,6-heptachlorobiphenyl",0.012
"2,2’,3,4,4’,5,6’-heptachlorobiphenyl",0.017
"2,2’,3,4,4’,5’,6-heptachlorobiphenyl",0.017
"2,2’,3,4,4’,6,6’-heptachlorobiphenyl",0.81
"2,2’,3,4,5,5’,6-heptachlorobiphenyl",0.62
"2,2’,3,4,5,6,6’-heptachlorobiphenyl",0.00096
"2,2’,3,4’,5,5’,6-heptachlorobiphenyl",0.016
"2,2’,3,4’,5,6,6’-heptachlorobiphenyl",0.0088
"2,3,3’,4,4’,5,5’-heptachlorobiphenyl",0.084
"2,3,3’,4,4’,5,6-heptachlorobiphenyl",0.015
"2,3,3’,4,4’,5’,6-heptachlorobiphenyl",0.21
"2,3,3’,4,5,5’,6-heptachlorobiphenyl",0.0049
"2,3,3’,4’,5,5’,6-heptachlorobiphenyl",0.032
"2,2’,3,3’,4,4’,5,5’-octachlorobiphenyl",0.15
"2,2’,3,3’,4,4’,5,6-octachlorobiphenyl",0.071
"2,2’,3,3’,4,4’,5,6’-octachlorobiphenyl",0.99
"2,2’,3,3’,4,4’,6,6’-octachlorobiphenyl",0.13
"2,2’,3,3’,4,5,5’,6-octachlorobiphenyl",0.7
"2,2’,3,3’,4,5,5’,6’-octachlorobiphenyl",0.99
"2,2’,3,3’,4,5,6,6’-octachlorobiphenyl",0.0076
"2,2’,3,3’,4,5’,6,6’-octachlorobiphenyl",0.01
"2,2’,3,3’,5,5’,6,6’-octachlorobiphenyl",0.55
"2,2’,3,4,4’,5,5’,6-octachlorobiphenyl",0.32
"2,2’,3,4,4’,5,6,6’-octachlorobiphenyl",0.011
"2,3,3’,4,4’,5,5’,6-octachlorobiphenyl",0.0044
"2,2’,3,3’,4,4’,5,5’,6-nonachlorobiphenyl",0.0021
"2,2’,3,3’,4,4’,5,6,6’-nonachlorobiphenyl",0.0018
"2,2’,3,3’,4,5,5’,6,6’-nonachlorobiphenyl",0.003
Decachlorobiphenyl,0.00067
Phosgene,0.00059
Dichloroacetaldehyde,1.2
Chloroacetyl chloride,0.043
Chloral hydrate,2400
Chloroacetaldehyde,0.41
2-chloroethanol,95
2-chloroethanol-d4,5
"1,1,1-trichloro-2-propanone",4.5
"1,1-dichloro-2-propanone",1.6
"Carbonochloridic acid, 2-chloroethyl",0.009
"Carbonochloridic acid, ethyl ester",0.0032
2-chloropropanoic acid,38
"2,3-dichloro-1-propanol",0.33
"1,3-dichloro-2-propanol",5.8
"3-chloro-1,2-propanediol",160
1-chloro-2-propanol,5.8
2-chloro-1-propanol,5.8
Trichloroethanal,3400
Chloro-2-propanone,0.58
Chloroethanoic acid,1100
Dichloroethanoic acid,1200
Trichloroethanoic acid,730
"2,2-dichloro-propanoic acid",3.5e+08
Trichloroacetylchloride,0.2
Hexachloroacetone,100
Methyl chloroethanoate,0.041
Ethyl chloroethanoate,0.12
Chloroacetic acid anhydride,2.2
"Carbonochloridic acid, 1-methylethyl",0.0024
Chlorobutanol,4.5
3-chloro-4-(dichloromethyl)-2-(5h)-furanone,1.5
3-chloro-4-(dichloromethyl)-5-hydroxy-2-(5h)-furanone,39000
"1,2,4-trichloro-2-methyl-3-pentanone",1.9
Bis(2-chloroisopropyl) ether,0.3
"Butyl 2,2,3,4,4-pentachloro-3-butenoate",0.39
"3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carbonyl",0.016
"3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic",19
"Hexanoic acid, 3,3-dimethyl-4,6,6,6-tetrachloro, methyl ester",0.67
"Methyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate",0.061
Oxychlordane,0.06
Kepone,180
Bis-(2-chloroethoxy)-methane,2.5
Bis-(chloromethyl) ether,0.048
"1,5-dichloro-3-oxapentane",0.34
Bis-(2-chloroisopropyl) ether,0.42
"1,2-bis(2-chloroethoxy)ethane",13
2-hydroxychlorobenzene,1.5
3-hydroxychlorobenzene,34
4-hydroxychlorobenzene,1400
"2,3-dichlorophenol",2.9
"2,4-dichlorophenol",3.4
"2,5-dichlorophenol",1.6
"2,6-dichlorophenol",3.7
"3,4-dichlorophenol",21
"3,5-dichlorophenol",41
"2,3,4-trichlorophenol",2.5
"2,3,5-trichlorophenol",2.5
"2,4,5-trichlorophenol",6.2
"2,3,6-trichlorophenol",43
"2,4,6-trichlorophenol",2
"3,4,5-trichlorophenol",43
"2,3,4,5-tetrachlorophenol",7.2
"2,3,4,6-tetrachlorophenol",7.6
"2,3,5,6-tetrachlorophenol",4.3
Hydroxypentachlorobenzene,410
"3,4,5-trichloro-1,2-benzenediol",240
"4,5-dichloro-1,2-benzenediol",1300
"3,4,5,6-tetrachloro-1,2-benzenediol",29
"2,3,5,6-tetrachloro-p-benzoquinone",0.15
2-chloro-5-methylphenol,21
4-chloro-2-methylphenol,9
4-chloro-3-methylphenol,4.1
1-chloro-2-methoxybenzene,0.1
1-chloro-3-methoxybenzene,0.045
1-chloro-4-methoxybenzene,0.058
"1,2-dichloro-3-methoxybenzene",0.022
"1,5-dichloro-2-methoxybenzene",0.012
"1,4-dichloro-2-methoxybenzene",0.021
"1,3-dichloro-2-methoxybenzene",0.88
"1,2-dichloro-4-methoxybenzene",0.0092
"1,3-dichloro-5-methoxybenzene",0.0023
"1,2,3-trichloro-4-methoxybenzene",0.013
"1,2,5-trichloro-3-methoxybenzene",0.0076
"1,2,4-trichloro-3-methoxybenzene",0.011
"1,2,4-trichloro-5-methoxybenzene",0.011
"1,3,5-trichloro-2-methoxybenzene",0.0044
"1,2,3-trichloro-5-methoxybenzene",0.0044
"1,2,3,4-tetrachloro-5-methoxybenzene",0.0065
"1,2,3,5-tetrachloro-4-methoxybenzene",0.0031
"1,2,4,5-tetrachloro-3-methoxybenzene",0.32
Pentachloromethoxybenzene,0.0021
"4,5-dichloro-2-methoxyphenol",5.2
"4,5,6-trichloro-2-methoxyphenol",7.4
"2,3,4,5-tetrachloro-6-methoxyphenol",6.2
3-chlorobenzoic acid,250
"1,2,3-trichloro-4,5-dimethoxybenzene",0.27
"1,2,3,4-tetrachloro-5,6-dimethoxybenzene",0.091
"3-chloro-2,6-dimethoxyphenol",42
"3,5-dichloro-2,6-dimethoxyphenol",14
"3,5-dichloro-2-hydroxybenzoic acid",0.13
"3,6-dichloro-2-hydroxybenzoic acid",1300
5-chloro-2-methoxybenzoic acid,2100
2-chloroacetophenone,2.8
"2,2,2’,4’,5’-pentachloroacetophenone",20
Tetrachloroterephthaloyl chloride,10
Chloroxylenol,19
"4,5,6,7-tetrachloro-1,3-isobenzofurandione",5.2
"3,4,5-trichloro-2,6-dimethoxyphenol",45
"4,5,6,7-tetrachlorophthalide",18
Dicamba,23000
"2,4,5-trichlorophenoxyethanoic acid",170
"1,4-dichloro-2,5-dimethoxybenzene",0.099
"2,3,6-trichlorophenylacetic acid",0.83
4-methoxy-benzoyl chloride,1.3
Isobenzan,170
"2-chloro-4-hydroxy-3,5-dimethoxybenzaldehyde",91
"2,6-dichloro-4-hydroxy-3,5-dimethoxybenzaldehyde",270
"Methyl 2,4-dichlorophenoxyethanoate",1.8
"2-(2,4,5-trichlorophenoxy)propanoic",39000
Tridiphane,0.19
Plifenat,11000
"Ethyl 2,4-dichlorophenoxyethanoate",1.2
Dacthal,4.4
"4-(2,4-dichlorophenoxy)-butanoic acid",4300
Dichlone,9700
4-(4-chloro-2-methylphenoxy)butanoic,3100
Triclosan,470
Monobutyl tetrachlorophthalate,20000
Sucralose,2.5e+13
"1,2,3,4,6-pentachlorodibenzo-p-dioxin",4.5
Endrin aldehyde,2.3
Clorophene,3700
"1-(4-chlorophenyl)-4,4-dimethyl-3-pentanone",1.1
Hexachlorophene,0.18
"2,4’-dichlorobenzophenone",9.2
"1-(4-chlorophenyl)-4,4-dimethylpent-1-en-3-one",4.8
Dichlorophen,8.2e+06
Dicofol,41
"Bis(2,4-dichlorobenzoyl)peroxide",9.2
Dipropyl tetrachlorophthalate,47
2-(4-chlorobenzoyl)benzoic acid,340000
"1-chloro-9,10-anthracenedione",4200
"4,4’-(1-methylethylidene)bis(2,6-dichlorophenol)",3.5e+06
Methoxychlor,49
Diclofop-methyl,5
Chlorobenzilate,140
Chloropropylate,1200
"1-(2-(2-chloroethoxy)ethoxy)-4-(1,1,3,3-tetramethylbutyl)benzene",0.53
Fenofibrate,2200
Spirodiclofen,170
Permethrin,4.1
Chlormadinone acetate,18000
"3,4,5,6-tetrachlorophthalic acid bis(2-ethylhexyl) ester",2.8
Endosulfan alcohol,7700
Chlorendic anhydride,110
"1,4,5,6,7,7-hexachloro-bicyclo[2.2.1]hept-5-ene-2,3-dicarboxylic acid",3.3e+08
Heptachlorepoxide,0.48
Dieldrin,1
Endrin,1.6
"1,4,5,6,7,7-hexachlorobicyclo[2.2.1]hept-5-ene-2,3-dicarboxylic acid, dibutyl",580
Di-2-ethylhexyl chlorendate,60
2-chlorodiphenyl ether,0.031
3-chlorodiphenyl ether,0.12
4-chlorodiphenyl ether,0.11
"2,3-dichlorodiphenyl ether",0.24
"2,4-dichlorodiphenyl ether",0.19
"2,4’-dichlorodiphenyl ether",0.032
"2,5-dichlorodiphenyl ether",0.079
"2,6-dichlorodiphenyl ether",0.05
"3,4-dichlorodiphenyl ether",0.11
"3,4’-dichlorodiphenyl ether",0.13
"3,5-dichlorodiphenyl ether",0.065
"4,4’-dichlorodiphenyl ether",0.21
"2,2’,4-trichlorodiphenyl ether",0.45
"2,3,4-trichlorodiphenyl ether",0.28
"2,3,4’-trichlorodiphenyl ether",0.32
"2,3,5-trichlorodiphenyl ether",0.22
"2,3,6-trichlorodiphenyl ether",0.3
"2,3’,4-trichlorodiphenyl ether",0.15
"2,4,4’-trichlorodiphenyl ether",0.03
"2,4,5-trichlorodiphenyl ether",0.0089
"2,4,6-trichlorodiphenyl ether",0.014
"2,4’,5-trichlorodiphenyl ether",0.16
"2,4’,6-trichlorodiphenyl ether",0.042
"2,3’,4’-trichlorodiphenyl ether",0.34
"3,3’,4-trichlorodiphenyl ether",0.22
"3,4,4’-trichlorodiphenyl ether",0.16
"3,4,5-trichlorodiphenyl ether",0.0091
"3,4’,5-trichlorodiphenyl ether",0.16
"2,2’,3,4-tetrachlorodiphenyl ether",0.055
"2,2’,3,4’-tetrachlorodiphenyl ether",0.058
"2,2’,4,4’-tetrachlorodiphenyl ether",0.29
"2,2’,4,5-tetrachlorodiphenyl ether",0.016
"2,2’,4,5’-tetrachlorodiphenyl ether",0.026
"2,3,3’,4-tetrachlorodiphenyl ether",0.023
"2,3,3’,4’-tetrachlorodiphenyl ether",0.044
"2,3,4,4’-tetrachlorodiphenyl ether",0.036
"2,3,4,5-tetrachlorodiphenyl ether",0.0066
"2,3,4,6-tetrachlorodiphenyl ether",0.0091
"2,3,4’,5-tetrachlorodiphenyl ether",0.015
"2,3,4’,6-tetrachlorodiphenyl ether",0.038
"2,3,5,6-tetrachlorodiphenyl ether",0.0093
"2,3’,4,4’-tetrachlorodiphenyl ether",0.025
"2,3’,4,5-tetrachlorodiphenyl ether",0.0089
"2,3’,4,5’-tetrachlorodiphenyl ether",0.01
"2,3’,4’,5-tetrachlorodiphenyl ether",0.018
"2,3’,4’,6-tetrachlorodiphenyl ether",0.046
"2,4,4’,5-tetrachlorodiphenyl ether",0.019
"2,4,4’,6-tetrachlorodiphenyl ether",0.017
"3,3’,4,4’-tetrachlorodiphenyl ether",0.041
"3,3’,4,5’-tetrachlorodiphenyl ether",0.01
